Symbol,Date,Close
NIFTYBEES,2007-01-02,410.96
NIFTYBEES,2007-01-03,411.86
NIFTYBEES,2007-01-04,408.05
NIFTYBEES,2007-01-05,400.5
NIFTYBEES,2007-01-08,394.55
NIFTYBEES,2007-01-09,393.09
NIFTYBEES,2007-01-10,388.31
NIFTYBEES,2007-01-11,393.61
NIFTYBEES,2007-01-12,406.92
NIFTYBEES,2007-01-15,409.31
NIFTYBEES,2007-01-16,410.15
NIFTYBEES,2007-01-17,410.3
NIFTYBEES,2007-01-18,411.05
NIFTYBEES,2007-01-19,412.0
NIFTYBEES,2007-01-22,411.95
NIFTYBEES,2007-01-23,408.25
NIFTYBEES,2007-01-24,410.25
NIFTYBEES,2007-01-25,414.9
NIFTYBEES,2007-01-29,412.66
NIFTYBEES,2007-01-31,410.45
NIFTYBEES,2007-02-01,413.0
NIFTYBEES,2007-02-02,419.0
NIFTYBEES,2007-02-05,422.16
NIFTYBEES,2007-02-06,423.0
NIFTYBEES,2007-02-07,423.26
NIFTYBEES,2007-02-08,421.46
NIFTYBEES,2007-02-09,421.02
NIFTYBEES,2007-02-12,410.74
NIFTYBEES,2007-02-13,404.89
NIFTYBEES,2007-02-14,406.85
NIFTYBEES,2007-02-15,414.83
NIFTYBEES,2007-02-19,419.97
NIFTYBEES,2007-02-20,414.86
NIFTYBEES,2007-02-21,413.09
NIFTYBEES,2007-02-22,408.74
NIFTYBEES,2007-02-23,397.55
NIFTYBEES,2007-02-26,394.6
NIFTYBEES,2007-02-27,392.24
NIFTYBEES,2007-02-28,378.54
NIFTYBEES,2007-03-01,381.44
NIFTYBEES,2007-03-02,376.55
NIFTYBEES,2007-03-05,360.43
NIFTYBEES,2007-03-06,369.07
NIFTYBEES,2007-03-07,365.17
NIFTYBEES,2007-03-08,376.54
NIFTYBEES,2007-03-09,374.61
NIFTYBEES,2007-03-12,376.46
NIFTYBEES,2007-03-13,377.89
NIFTYBEES,2007-03-14,366.96
NIFTYBEES,2007-03-15,367.0
NIFTYBEES,2007-03-16,363.96
NIFTYBEES,2007-03-19,369.79
NIFTYBEES,2007-03-20,372.52
NIFTYBEES,2007-03-21,379.69
NIFTYBEES,2007-03-22,390.03
NIFTYBEES,2007-03-23,390.19
NIFTYBEES,2007-03-26,386.76
NIFTYBEES,2007-03-28,377.86
NIFTYBEES,2007-03-29,381.67
NIFTYBEES,2007-03-30,384.04
NIFTYBEES,2007-04-02,369.51
NIFTYBEES,2007-04-03,371.67
NIFTYBEES,2007-04-04,374.37
NIFTYBEES,2007-04-05,378.36
NIFTYBEES,2007-04-09,386.61
NIFTYBEES,2007-04-10,386.29
NIFTYBEES,2007-04-11,387.55
NIFTYBEES,2007-04-12,386.68
NIFTYBEES,2007-04-13,392.69
NIFTYBEES,2007-04-16,402.93
NIFTYBEES,2007-04-17,402.85
NIFTYBEES,2007-04-18,403.1
NIFTYBEES,2007-04-19,402.07
NIFTYBEES,2007-04-20,408.07
NIFTYBEES,2007-04-23,412.59
NIFTYBEES,2007-04-24,416.92
NIFTYBEES,2007-04-25,418.96
NIFTYBEES,2007-04-26,420.28
NIFTYBEES,2007-04-27,412.99
NIFTYBEES,2007-04-30,411.99
NIFTYBEES,2007-05-03,418.99
NIFTYBEES,2007-05-04,417.9
NIFTYBEES,2007-05-07,416.5
NIFTYBEES,2007-05-08,412.18
NIFTYBEES,2007-05-09,410.45
NIFTYBEES,2007-05-10,412.53
NIFTYBEES,2007-05-11,409.06
NIFTYBEES,2007-05-14,416.87
NIFTYBEES,2007-05-15,416.99
NIFTYBEES,2007-05-16,419.05
NIFTYBEES,2007-05-17,426.13
NIFTYBEES,2007-05-18,425.09
NIFTYBEES,2007-05-21,429.72
NIFTYBEES,2007-05-22,428.71
NIFTYBEES,2007-05-23,429.43
NIFTYBEES,2007-05-24,425.19
