Date,Open,High,Low,Close,Adj Close,Volume
2019-02-04,60.54999923706055,60.650001525878906,60.04999923706055,60.04999923706055,60.04999923706055,7154
2019-06-20,61.41999816894531,62.02000045776367,61.41999816894531,62.02000045776367,62.02000045776367,18308
2019-06-21,63.9900016784668,63.9900016784668,61.970001220703125,62.540000915527344,62.540000915527344,594
2019-06-24,63.9900016784668,67.30000305175781,62.209999084472656,62.40999984741211,62.40999984741211,36970
2019-06-25,62.459999084472656,64.5,62.459999084472656,62.77000045776367,62.77000045776367,104746
2019-06-26,63.13999938964844,65.19000244140625,63.099998474121094,63.31999969482422,63.31999969482422,36090
2019-06-27,63.31999969482422,64.0,63.150001525878906,63.79999923706055,63.79999923706055,395399
2019-06-28,63.599998474121094,63.66999816894531,63.400001525878906,63.41999816894531,63.41999816894531,247962
2019-07-01,63.790000915527344,63.790000915527344,63.560001373291016,63.619998931884766,63.619998931884766,82823
2019-07-02,63.630001068115234,63.970001220703125,63.099998474121094,63.099998474121094,63.099998474121094,56776
2019-07-03,63.97999954223633,64.0999984741211,63.0,63.959999084472656,63.959999084472656,229194
2019-07-04,64.1500015258789,64.2699966430664,63.220001220703125,63.95000076293945,63.95000076293945,161428
2019-07-05,63.900001525878906,63.900001525878906,63.029998779296875,63.15999984741211,63.15999984741211,11563
2019-07-08,62.5,67.0,59.0,61.02000045776367,61.02000045776367,134627
2019-07-09,61.02000045776367,61.599998474121094,56.5,61.560001373291016,61.560001373291016,91780
2019-07-10,61.70000076293945,61.72999954223633,61.0099983215332,61.029998779296875,61.029998779296875,184412
2019-07-11,62.5,65.5,61.150001525878906,61.5,61.5,16472
2019-07-12,61.56999969482422,61.9900016784668,61.56999969482422,61.70000076293945,61.70000076293945,68366
2019-07-15,62.5,64.9000015258789,61.0,61.209999084472656,61.209999084472656,75087
2019-07-16,61.560001373291016,62.0,61.150001525878906,61.959999084472656,61.959999084472656,298566
2019-07-17,61.75,61.91999816894531,61.20000076293945,61.619998931884766,61.619998931884766,41260
2019-07-18,60.0,61.40999984741211,60.0,60.790000915527344,60.790000915527344,122526
2019-07-19,60.77000045776367,60.81999969482422,59.54999923706055,59.689998626708984,59.689998626708984,294961
2019-07-22,59.099998474121094,59.33000183105469,58.79999923706055,59.27000045776367,59.27000045776367,37864
2019-07-23,59.16999816894531,59.31999969482422,58.56999969482422,58.849998474121094,58.849998474121094,109974
2019-07-24,59.0,59.0,57.900001525878906,58.20000076293945,58.20000076293945,415244
2019-07-25,58.36000061035156,58.56999969482422,58.0099983215332,58.099998474121094,58.099998474121094,171934
2019-07-26,58.5,58.90999984741211,58.349998474121094,58.849998474121094,58.849998474121094,31931
2019-07-29,58.13999938964844,58.5099983215332,58.06999969482422,58.47999954223633,58.47999954223633,31040
2019-07-30,58.380001068115234,58.380001068115234,57.150001525878906,57.380001068115234,57.380001068115234,90037
2019-07-31,57.0,57.9900016784668,56.61000061035156,57.880001068115234,57.880001068115234,39049
2019-08-01,57.54999923706055,57.959999084472656,56.900001525878906,57.400001525878906,57.400001525878906,315637
